ParName   Value   Gradient
log_F_devs_fish3(1984)   -0.0254065 -6.86605e-007
log_F_devs_fish3(1985)    -0.995815 -1.00403e-006
log_F_devs_fish3(1986)     0.574286 1.42243e-006
log_F_devs_fish3(1987)     0.650347 2.16927e-006
log_F_devs_fish3(1988)     0.907019 -1.13002e-006
log_F_devs_fish3(1989)     0.792101 1.30487e-006
log_F_devs_fish3(1990)     0.453198 -1.90084e-008
log_F_devs_fish3(1991)       0.1248 6.96549e-007
log_F_devs_fish3(1992)     0.145811 3.34585e-007
log_F_devs_fish3(1993)    0.0644608 -3.05904e-007
log_F_devs_fish3(1994)      0.29325 1.23138e-006
log_F_devs_fish3(1995)     0.246519  1.6592e-006
log_F_devs_fish3(1996)     0.138099 1.01314e-006
log_F_devs_fish3(1997)    -0.108697 3.59449e-007
log_F_devs_fish3(1998)    -0.161928 5.07189e-007
log_F_devs_fish3(1999)     0.113507 -3.87531e-007
log_F_devs_fish3(2000)     0.112924 1.68151e-007
log_F_devs_fish3(2001)   -0.0332933 4.24358e-007
log_F_devs_fish3(2002)     0.129671 1.87532e-007
log_F_devs_fish3(2003)  -0.00315957 8.76984e-007
log_F_devs_fish3(2004)    -0.243163 -1.05016e-007
log_F_devs_fish3(2005)    -0.307085 1.13558e-006
log_F_devs_fish3(2006)    -0.507483 1.30834e-006
log_F_devs_fish3(2007)    -0.478515 6.38886e-007
log_F_devs_fish3(2008)     -0.52484 1.40596e-007
log_F_devs_fish3(2009)    -0.542754 1.18369e-006
log_F_devs_fish3(2010)    -0.576682 8.97755e-007
log_F_devs_fish3(2011)    -0.396222 -1.95493e-007
log_F_devs_fish3(2012)      -0.4407 8.25064e-007
log_F_devs_fish3(2013)     -0.46376 7.80267e-007
log_F_devs_fish3(2014)    -0.430027 8.03947e-007
log_F_devs_fish3(2015)    -0.336923 7.67945e-007
log_F_devs_fish3(2016)    -0.190641 -4.75692e-007
log_F_devs_fish3(2017)     0.264794 3.28774e-008
log_F_devs_fish3(2018)       0.5753 8.58007e-007
log_F_devs_fish3(2019)     0.645636 6.39312e-007
log_F_devs_fish3(2020)     0.819795 1.39081e-006
log_F_devs_fish3(2021)     0.184204 2.41621e-008
log_F_devs_fish3(2022)      0.32392 6.06034e-007
log_q_srv1       1.9064  3.6917e-006
log_q_srv2      1.57427 8.74453e-006
log_q_srv5      1.36608 1.87576e-006
log_q_srv6      2.51801 2.96817e-006
log_q_srv7    0.0154995 4.78483e-006
log_q_srv8      1.77467 -5.48772e-006
log_q_LL_fish_recent     0.968406 -1.21463e-006
log_a50_fish1_f      1.34135 -4.79297e-006
log_delta_fish1_f    -0.711843 -6.72068e-005
log_a50_fish1_m      1.98408 2.74151e-006
log_a50_fish2       2.5915 -1.30958e-005
log_a50_fish3_f       1.8212 5.72629e-006
log_delta_fish3_f      2.40086 4.85948e-008
log_a50_fish3_m      2.18361 1.22159e-005
log_a50_fish4_f       1.2053 -1.7965e-005
log_delta_fish4_f     0.564897 6.49108e-006
log_a50_fish4_m      1.50205 7.89704e-006
log_delta_fish4_m    -0.104329 -1.99962e-005
log_a50_fish5_f     0.622769 -9.73781e-006
log_delta_fish5_f     0.908422 -1.05088e-005
log_a50_fish5_m      1.34464 -4.12176e-005
log_delta_fish5_m    -0.735469  -4.168e-005
log_a50_srv1_f        1.054 -5.69024e-005
log_delta_srv1_f      1.32254 -3.91896e-005
log_a50_srv1_m     0.999485 -6.0251e-005
log_delta_srv1_m     0.708263 1.98069e-005
log_a50_srv2_f     0.870325 -4.22048e-006
log_a50_srv2_m       1.2244 -4.5662e-006
log_a50_srv7_f    -0.314413 1.40389e-005
log_a50_srv7_m     -1.24393 1.39335e-005
log_a50_srv10_f     0.560827 -2.92261e-006
log_a50_srv10_m     0.564314 4.41258e-006
